FL6_cleaned1,FL6_cleaned2,FL7,FL9A,FL13_cleaned,FL15,FL17,FL19_cleaned,FL21B_cleaned1,FL21B_cleaned2,FL21B_cleaned3,FL21B_cleaned4,FL21B_cleaned5,FL21G_cleaned,FL21I,FL21K,FL21O_cleaned,FL22_cleaned1,FL22_cleaned2,FL22_cleaned3,FL22_cleaned4,FL22_cleaned5,FL23_cleaned1,FL23_cleaned2,FL23_cleaned3,FL23_cleaned4,FL23_cleaned5,FL23_cleaned6,FL24_cleaned1,FL24_cleaned2,FL24_cleaned3,FL24_cleaned4,FL24_cleaned5,FL25_cleaned1,FL25_cleaned2,FL25_cleaned3,FL25_cleaned4,FL25_cleaned5,FL26,FL26C,FL27_cleaned1,FL27_cleaned2,FL27_cleaned3,FL27_cleaned4,FL27_cleaned5,school,grade,studentAge,studentGender,elapsedTime,anon_id,export_datetime
Yes,Yes,Tibetan,Tibetan,13,Correct,Correct,61,Correct,Incorrect,No response,Incorrect,Correct,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,No response,Ghami Solar Basic School,Grade 5,12,Male,9:48:00,c937a55280,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Incorrect,,,,,,,,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,No response,Ghami Solar Basic School,Grade 5,14,Female,7:15:00,2d46545a9c,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Correct,Correct,61,Incorrect,Correct,No response,Incorrect,No response,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 5,13,Female,10:12:00,b0745649e3,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,15,Female,8:38:00,92c510fd9a,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Correct,Incorrect,,,,,,,16,Correct,Correct,45,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,13,Female,8:18:00,680a2f4c9a,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Correct,Correct,58,Correct,Correct,Correct,Correct,Correct,13,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 6,13,Male,10:38:00,00d7b6abfd,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Correct,Correct,57,Correct,Correct,Incorrect,Correct,Correct,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,14,Female,11:02:00,7cf3cfefac,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,14,Correct,Correct,59,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,13,Female,7:23:00,9fc4cc8d56,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 7,14,Female,9:05:00,da80dca4dc,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,16,Female,8:22:00,9c1fc411ae,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,44,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 7,14,Male,8:27:00,bee21d82ef,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,14,Correct,Correct,56,Incorrect,Correct,Incorrect,Correct,Incorrect,16,Correct,Correct,45,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 7,16,Female,8:46:00,17cff1db94,2026-01-01 07:47:18
Yes,Yes,Other,Tibetan,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,12,Female,8:38:00,ddf8d3af2c,2026-01-01 07:47:18
Yes,Yes,Other,Other,14,Correct,Correct,58,Correct,Incorrect,Correct,Incorrect,Incorrect,16,Correct,Correct,46,Correct,Incorrect,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,No response,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 5,12,Female,9:22:00,41e82330eb,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,13,Correct,No response,,,,,,,12,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 3,10,Female,7:14:00,d1884d65f9,2026-01-01 07:47:18
Yes,No,Tibetan,Nepali,10,,,,,,,,,8,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 3,10,Female,6:27:00,6923928e6e,2026-01-01 07:47:18
Yes,Yes,Tibetan,Tibetan,9,,,,,,,,,8,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 3,11,Male,5:37:00,81797c444e,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,10,,,,,,,,,15,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 3,10,Female,6:14:00,a08f07f3cb,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,10,,,,,,,,,16,Correct,Correct,43,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,No response,Correct,Ghami Solar Basic School,Grade 3,11,Male,7:10:00,e01f36b570,2026-01-01 07:47:18
Yes,No,Tibetan,Tibetan,10,,,,,,,,,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 4,12,Male,11:09:00,7a685be187,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,10,,,,,,,,,13,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 2,9,Male,8:50:00,d1dcc03844,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,10,,,,,,,,,16,Correct,Correct,11,Incorrect,Incorrect,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 2,10,Male,9:40:00,1795ad9f5c,2026-01-01 07:47:18
Yes,Yes,Tibetan,English,13,Correct,Correct,47,,,,,,16,Correct,Correct,45,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Siddhartha Kula Basic School,Grade 3,9,Male,16:00:00,7e0592533a,2026-01-01 07:47:18
Yes,Yes,Tibetan,Nepali,12,Correct,Correct,49,,,,,,16,Correct,Correct,46,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Siddhartha Kula Basic School,Grade 3,11,Female,15:26:00,0d7c5e7445,2026-01-01 07:47:18
